subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
11	1	1	999	1	0	2	2	-1000	3	2	215030	216035	4	3	2	5	217044	1009	4	217044	1009
11	1	1	999	2	0	2	2	-1000	1	4	220045	221050	2	1	0	1	221901	851	0	0	0
11	1	1	999	3	0	2	2	1000	2	1	224060	225065	1	2	1	1	225633	568	0	0	0
11	1	1	999	4	0	2	2	-1000	3	2	228076	229081	4	3	0	1	229704	623	0	0	0
11	1	1	999	5	0	2	2	-1000	1	4	232088	233093	2	1	0	1	233696	603	0	0	0
11	1	0	1	1	0	2	2	110	2	1	248253	248368	1	2	2	7	248822	454	0	0	0
11	1	0	2	2	0	2	2	-50	1	2	251385	251440	2	1	0	1	252069	629	0	0	0
11	1	0	3	3	0	2	2	300	4	1	254451	254756	4	3	2	5	255322	566	4	255322	566
11	1	0	4	4	0	2	2	-110	1	2	257766	257881	2	1	0	1	258489	608	0	0	0
11	1	0	5	5	0	2	2	-110	3	2	260891	261006	0	0	2	2	0	0	0	0	0
11	1	0	6	6	0	2	2	300	1	3	264031	264336	2	1	1	1	264664	328	0	0	0
11	1	0	7	7	0	2	2	110	4	1	267363	267478	4	3	2	5	268130	652	4	268130	652
11	1	0	8	8	0	2	2	50	4	3	270495	270550	0	0	2	2	0	0	0	0	0
11	1	0	9	9	0	2	2	-50	3	2	273578	273633	4	3	0	1	274355	722	0	0	0
11	1	0	10	10	0	2	2	-50	1	4	276660	276715	2	1	0	1	277824	1109	0	0	0
11	1	0	11	11	0	2	2	300	4	3	279742	280047	3	4	1	1	280364	317	0	0	0
11	1	0	12	12	0	2	2	-110	1	4	283075	283190	4	3	2	6	284628	1438	0	0	0
11	1	0	13	13	0	2	2	-50	3	4	286207	286262	3	4	2	5	287632	1370	3	287632	1370
11	1	0	14	14	0	2	2	300	2	3	289289	289594	1	2	1	1	290047	453	0	0	0
11	1	0	15	15	0	2	2	-110	3	1	292622	292737	4	3	0	1	293418	681	0	0	0
11	1	0	16	16	0	2	2	-300	3	1	295754	296059	4	3	0	1	296654	595	0	0	0
11	1	0	17	17	0	2	2	-50	3	1	299086	299141	4	3	0	1	299856	715	0	0	0
11	1	0	18	18	0	2	2	-300	3	4	302168	302473	4	3	0	1	303170	697	0	0	0
11	1	0	19	19	0	2	2	-50	4	2	305501	305556	4	3	2	6	306863	1307	0	0	0
11	1	0	20	20	0	2	2	-300	4	2	308583	308888	3	4	0	1	309384	496	0	0	0
11	1	0	21	21	0	2	2	50	1	3	311915	311970	4	3	0	0	312689	719	0	0	0
11	1	0	22	22	0	2	2	50	2	4	314998	315053	3	4	0	0	316087	1034	0	0	0
11	1	0	23	23	0	2	2	50	4	1	318080	318135	4	3	2	6	319687	1552	0	0	0
11	1	0	24	24	0	2	2	110	2	4	321162	321277	1	2	1	1	321952	675	0	0	0
11	1	0	25	25	0	2	2	-110	3	4	324295	324410	4	3	0	1	325069	659	0	0	0
11	1	0	26	26	0	2	2	300	2	4	327427	327732	1	2	1	1	328354	622	0	0	0
11	1	0	27	27	0	2	2	110	1	3	330759	330874	2	1	2	5	331829	955	2	331829	955
11	1	0	28	28	0	2	2	110	2	3	333892	334007	1	2	1	1	334771	764	0	0	0
11	1	0	29	29	0	2	2	110	4	3	337024	337139	4	3	0	0	337893	754	0	0	0
11	1	0	30	30	0	2	2	-300	1	4	340151	340456	2	1	0	1	341002	546	0	0	0
11	1	0	31	31	0	2	2	50	2	3	343472	343527	1	2	1	1	344129	602	0	0	0
11	1	0	32	32	0	2	2	-300	1	2	346554	346859	2	1	0	1	347951	1092	0	0	0
11	1	0	33	33	0	2	2	-300	3	2	349886	350191	4	3	0	1	350764	573	0	0	0
11	1	0	34	34	0	2	2	300	2	1	353219	353524	1	2	2	5	354890	1366	1	354890	1366
11	1	0	35	35	0	2	2	-110	4	2	356551	356666	3	4	2	5	357873	1207	3	357873	1207
11	1	0	36	36	0	2	2	50	2	1	359683	359738	2	1	0	0	360728	990	0	0	0
11	1	0	1	37	1	2	2	110	2	1	362766	362881	1	2	1	1	363715	834	0	0	0
11	1	0	3	38	1	2	2	300	4	1	365898	366203	3	4	1	1	366417	214	0	0	0
11	1	0	5	39	1	2	2	-110	3	2	369230	369345	4	3	0	1	369884	539	0	0	0
11	1	0	7	40	1	2	2	110	4	1	372363	372478	3	4	2	5	375321	2843	3	375321	2843
11	1	0	8	41	1	2	2	50	4	3	375495	375550	4	3	0	0	376494	944	0	0	0
11	1	0	12	42	1	2	2	-110	1	4	378577	378692	2	1	0	1	379297	605	0	0	0
11	1	0	19	43	1	2	2	-50	4	2	381710	381765	2	1	2	6	382584	819	0	0	0
11	1	0	23	44	1	2	2	50	4	1	384792	384847	3	4	1	1	385923	1076	0	0	0
11	1	0	34	45	1	2	2	300	2	1	387874	388179	2	1	0	0	388807	628	0	0	0
11	1	0	35	46	1	2	2	-110	4	2	391206	391321	1	2	1	0	391932	611	0	0	0
11	1	0	19	47	2	2	2	-50	4	2	394339	394394	1	2	1	0	395167	773	0	0	0
11	2	0	37	1	0	2	2	-50	1	4	421430	421485	1	2	2	7	422181	696	0	0	0
11	2	0	38	2	0	2	2	300	2	4	424494	424799	1	2	1	1	425294	495	0	0	0
11	2	0	39	3	0	2	2	-300	3	2	427811	428116	4	3	0	1	428775	659	0	0	0
11	2	0	40	4	0	2	2	110	1	3	431126	431241	3	4	2	5	431893	652	3	431893	652
11	2	0	41	5	0	2	2	-50	4	2	434259	434314	4	3	2	6	435077	763	0	0	0
11	2	0	42	6	0	2	2	-50	1	2	437342	437397	1	2	1	0	438093	696	0	0	0
11	2	0	43	7	0	2	2	110	2	1	440424	440539	2	1	0	0	441258	719	0	0	0
11	2	0	44	8	0	2	2	50	4	3	443549	443604	3	4	1	1	444453	849	0	0	0
11	2	0	45	9	0	2	2	-110	1	2	446622	446737	1	2	1	0	447433	696	0	0	0
11	2	0	46	10	0	2	2	-300	1	4	449754	450059	1	2	2	6	450679	620	0	0	0
11	2	0	47	11	0	2	2	-50	3	2	453087	453142	1	2	1	0	454010	868	0	0	0
11	2	0	48	12	0	2	2	50	2	1	456169	456224	2	1	2	5	457237	1013	2	457237	1013
11	2	0	49	13	0	2	2	-110	4	2	459251	459366	3	4	0	1	459835	469	0	0	0
11	2	0	50	14	0	2	2	50	2	3	462384	462439	4	3	2	5	463701	1262	4	463701	1262
11	2	0	51	15	0	2	2	-300	3	1	465466	465771	4	3	0	1	466273	502	0	0	0
11	2	0	52	16	0	2	2	300	2	3	468798	469103	4	3	0	0	469948	845	0	0	0
11	2	0	53	17	0	2	2	-300	4	2	472130	472435	3	4	0	1	473248	813	0	0	0
11	2	0	54	18	0	2	2	300	2	1	475463	475768	3	4	2	6	476230	462	0	0	0
11	2	0	55	19	0	2	2	-110	3	4	478795	478910	3	4	1	0	479410	500	0	0	0
11	2	0	56	20	0	2	2	110	2	4	481927	482042	3	4	0	0	482473	431	0	0	0
11	2	0	57	21	0	2	2	-300	1	2	485060	485365	1	2	1	0	485889	524	0	0	0
11	2	0	58	22	0	2	2	-110	1	4	488392	488507	3	4	1	0	488980	473	0	0	0
11	2	0	59	23	0	2	2	50	4	1	491517	491572	3	4	1	1	492192	620	0	0	0
11	2	0	60	24	0	2	2	-110	3	1	494590	494705	3	4	2	6	495357	652	0	0	0
11	2	0	61	25	0	2	2	110	4	3	497722	497837	3	4	1	1	498503	666	0	0	0
11	2	0	62	26	0	2	2	-50	3	1	500854	500909	3	4	2	5	501668	759	3	501668	759
11	2	0	63	27	0	2	2	110	4	1	503937	504052	2	1	0	0	504761	709	0	0	0
11	2	0	64	28	0	2	2	50	1	3	507062	507117	2	1	1	1	507819	702	0	0	0
11	2	0	65	29	0	2	2	50	2	4	510135	510190	1	2	1	1	510806	616	0	0	0
11	2	0	66	30	0	2	2	-50	3	4	513217	513272	4	3	0	1	513981	709	0	0	0
11	2	0	67	31	0	2	2	300	1	3	516299	516604	3	4	2	5	517252	648	3	517252	648
11	2	0	68	32	0	2	2	110	2	3	519632	519747	1	2	1	1	520310	563	0	0	0
11	2	0	69	33	0	2	2	-110	3	2	522757	522872	2	1	2	6	523467	595	0	0	0
11	2	0	70	34	0	2	2	300	4	3	525896	526201	3	4	2	3	526254	53	0	0	0
11	2	0	71	35	0	2	2	-300	3	4	529229	529534	4	3	0	1	529927	393	0	0	0
11	2	0	72	36	0	2	2	300	4	1	532561	532866	3	4	1	1	533337	471	0	0	0
11	2	0	37	37	1	2	2	-50	1	4	535893	535948	3	4	2	5	536880	932	3	536880	932
11	2	0	40	38	1	2	2	110	1	3	538975	539090	4	3	2	5	539715	625	4	539715	625
11	2	0	41	39	1	2	2	-50	4	2	542108	542163	4	3	2	5	542771	608	4	542771	608
11	2	0	46	40	1	2	2	-300	1	4	545190	545495	0	0	2	2	0	0	0	0	0
11	2	0	50	41	2	2	2	50	2	3	548522	548577	3	4	2	5	549254	677	3	549254	677
