subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPositionCode	handPosition	feetPositionCode	feetPosition	soa	touchesNo	noOfTouches	firstLimbCode	firstLimb	secondLimbCode	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
12	1	1	999	1	0	1	hands parallel	1	feet parallel	1000	1	oneTouch	1	leftHand	5	none	5377	6377	1	1	1	1	7157	1780	valid	expXId
12	1	1	999	2	0	1	hands parallel	1	feet parallel	-1000	2	twoTouches	3	leftFoot	1	leftHand	9416	10416	3	3	0	1	10473	1057	valid	expXId
12	1	1	999	3	0	1	hands parallel	1	feet parallel	-1000	2	twoTouches	3	leftFoot	4	rightFoot	13468	14468	3	3	0	1	14372	904	valid	expXId
12	1	1	999	4	0	1	hands parallel	1	feet parallel	1000	2	twoTouches	2	rightHand	4	rightFoot	17520	18520	2	2	1	1	18472	952	valid	expXId
12	1	1	999	5	0	1	hands parallel	1	feet parallel	1000	1	oneTouch	2	rightHand	5	none	21572	22572	2	2	1	1	22546	974	valid	expXId
12	1	0	1	1	0	1	hands parallel	1	feet parallel	-300	1	oneTouch	3	leftFoot	5	none	30382	30682	3	3	0	1	31389	1007	block start	expXId
12	1	0	2	2	0	1	hands parallel	1	feet parallel	-300	1	oneTouch	3	leftFoot	5	none	33727	34027	3	3	0	1	35139	1412	valid	expXId
12	1	0	3	3	0	1	hands parallel	1	feet parallel	-300	2	twoTouches	3	leftFoot	2	rightHand	37073	37373	3	3	0	1	38313	1240	valid	expXId
12	1	0	4	4	0	1	hands parallel	1	feet parallel	110	1	oneTouch	2	rightHand	5	none	40418	40528	2	2	1	1	41269	851	valid	expXId
12	1	0	5	5	0	1	hands parallel	1	feet parallel	300	2	twoTouches	4	rightFoot	3	leftFoot	43577	43877	4	4	1	1	44867	1290	valid	expXId
12	1	0	6	6	0	1	hands parallel	1	feet parallel	-110	1	oneTouch	3	leftFoot	5	none	46923	47033	3	3	0	1	47796	873	valid	expXId
12	1	0	7	7	0	1	hands parallel	1	feet parallel	300	2	twoTouches	2	rightHand	4	rightFoot	50082	50382	2	2	1	1	51016	934	valid	expXId
12	1	0	8	8	0	1	hands parallel	1	feet parallel	-110	1	oneTouch	3	leftFoot	5	none	53427	53537	3	3	0	1	54354	927	valid	expXId
12	1	0	9	9	0	1	hands parallel	1	feet parallel	-300	1	oneTouch	1	leftHand	5	none	56586	56886	1	1	0	1	57465	879	valid	expXId
12	1	0	10	10	0	1	hands parallel	1	feet parallel	110	1	oneTouch	1	leftHand	5	none	59932	60042	1	1	1	1	60656	724	valid	expXId
12	1	0	11	11	0	1	hands parallel	1	feet parallel	110	1	oneTouch	4	rightFoot	5	none	63090	63200	4	4	1	1	64175	1085	valid	expXId
12	1	0	12	12	0	1	hands parallel	1	feet parallel	-300	1	oneTouch	3	leftFoot	5	none	66249	66549	3	3	0	1	67012	763	valid	expXId
12	1	0	13	13	0	1	hands parallel	1	feet parallel	300	1	oneTouch	2	rightHand	5	none	69595	69895	2	2	1	1	70449	854	valid	expXId
12	1	0	14	14	0	1	hands parallel	1	feet parallel	300	1	oneTouch	2	rightHand	5	none	72940	73240	2	2	1	1	73751	811	valid	expXId
12	1	0	15	15	0	1	hands parallel	1	feet parallel	300	2	twoTouches	4	rightFoot	1	leftHand	76286	76586	4	4	1	1	77379	1093	valid	expXId
12	1	0	16	16	0	1	hands parallel	1	feet parallel	300	2	twoTouches	2	rightHand	1	leftHand	79631	79931	2	2	1	1	80412	781	valid	expXId
12	1	0	17	17	0	1	hands parallel	1	feet parallel	110	2	twoTouches	2	rightHand	1	leftHand	82977	83087	2	2	1	1	83706	729	valid	expXId
12	1	0	18	18	0	1	hands parallel	1	feet parallel	110	1	oneTouch	2	rightHand	5	none	86136	86246	2	2	1	1	86928	792	valid	expXId
12	1	0	19	19	0	1	hands parallel	1	feet parallel	300	1	oneTouch	4	rightFoot	5	none	89295	89595	4	4	1	1	90292	997	valid	expXId
12	1	0	20	20	0	1	hands parallel	1	feet parallel	110	2	twoTouches	2	rightHand	3	leftFoot	92640	92750	2	2	1	1	93442	802	valid	expXId
12	1	0	21	21	0	1	hands parallel	1	feet parallel	-300	2	twoTouches	1	leftHand	4	rightFoot	95799	96099	1	1	0	1	96703	904	valid	expXId
12	1	0	22	22	0	1	hands parallel	1	feet parallel	110	1	oneTouch	4	rightFoot	5	none	99145	99255	4	4	1	1	100162	1017	valid	expXId
12	1	0	23	23	0	1	hands parallel	1	feet parallel	110	2	twoTouches	1	leftHand	3	leftFoot	102303	102413	1	1	1	1	103154	851	valid	expXId
12	1	0	24	24	0	1	hands parallel	1	feet parallel	300	1	oneTouch	2	rightHand	5	none	105462	105762	2	2	1	1	106401	939	valid	expXId
12	1	0	25	25	0	1	hands parallel	1	feet parallel	-110	2	twoTouches	3	leftFoot	2	rightHand	108808	108918	3	3	0	1	109888	1080	valid	expXId
12	1	0	26	26	0	1	hands parallel	1	feet parallel	300	1	oneTouch	4	rightFoot	5	none	111967	112267	4	4	1	1	112934	967	valid	expXId
12	1	0	27	27	0	1	hands parallel	1	feet parallel	-300	2	twoTouches	4	rightFoot	2	rightHand	115312	115612	4	4	0	1	116591	1279	valid	expXId
12	1	0	28	28	0	1	hands parallel	1	feet parallel	110	2	twoTouches	4	rightFoot	3	leftFoot	118658	118768	4	4	1	1	119747	1089	valid	expXId
12	1	0	29	29	0	1	hands parallel	1	feet parallel	-110	1	oneTouch	4	rightFoot	5	none	121817	121927	4	4	0	1	122996	1179	valid	expXId
