subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPositionCode	handPosition	feetPositionCode	feetPosition	soa	touchesNo	noOfTouches	firstLimbCode	firstLimb	secondLimbCode	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
6	1	1	999	1	0	2	hands crossed	1	feet parallel	1000	1	oneTouch	1	leftHand	5	none	21438	22438	0	0	2	99	0	0	no reaction	expXId
6	1	1	999	2	0	2	hands crossed	1	feet parallel	-1000	2	twoTouches	4	rightFoot	2	rightHand	27476	28476	4	4	0	1	28425	949	valid	expXId
6	1	1	999	3	0	2	hands crossed	1	feet parallel	-1000	2	twoTouches	1	leftHand	4	rightFoot	31528	32528	2	1	0	1	32210	682	valid	expXId
6	1	1	999	4	0	2	hands crossed	1	feet parallel	1000	1	oneTouch	4	rightFoot	5	none	35580	36580	4	4	1	1	36375	795	valid	expXId
6	1	1	999	5	0	2	hands crossed	1	feet parallel	-1000	1	oneTouch	1	leftHand	5	none	39632	40632	2	1	0	1	40215	583	valid	expXId
6	1	0	1	1	0	2	hands crossed	1	feet parallel	110	1	oneTouch	4	rightFoot	5	none	47736	47846	4	4	1	1	48482	746	block start	expXId
6	1	0	2	2	0	2	hands crossed	1	feet parallel	-300	2	twoTouches	1	leftHand	4	rightFoot	50895	51195	2	1	0	1	51603	708	valid	expXId
6	1	0	3	3	0	2	hands crossed	1	feet parallel	-110	1	oneTouch	4	rightFoot	5	none	54240	54350	4	4	0	1	55086	846	valid	expXId
6	1	0	4	4	0	2	hands crossed	1	feet parallel	-110	2	twoTouches	1	leftHand	2	rightHand	57399	57509	2	1	0	1	58102	703	valid	expXId
6	1	0	5	5	0	2	hands crossed	1	feet parallel	110	2	twoTouches	1	leftHand	3	leftFoot	60558	60668	2	1	1	1	61220	662	valid	expXId
6	1	0	6	6	0	2	hands crossed	1	feet parallel	300	1	oneTouch	2	rightHand	5	none	63717	64017	1	2	1	1	64433	716	valid	expXId
6	1	0	7	7	0	2	hands crossed	1	feet parallel	300	2	twoTouches	2	rightHand	1	leftHand	67062	67362	2	1	0	0	67818	756	valid	expXId
6	1	0	8	8	0	2	hands crossed	1	feet parallel	110	1	oneTouch	2	rightHand	5	none	70408	70518	1	2	1	1	71000	592	valid	expXId
6	1	0	9	9	0	2	hands crossed	1	feet parallel	-110	2	twoTouches	1	leftHand	4	rightFoot	73567	73677	2	1	0	1	74426	859	valid	expXId
6	1	0	10	10	0	2	hands crossed	1	feet parallel	110	2	twoTouches	4	rightFoot	3	leftFoot	76726	76836	4	4	1	1	77508	782	valid	expXId
6	1	0	11	11	0	2	hands crossed	1	feet parallel	-300	1	oneTouch	1	leftHand	5	none	79885	80185	2	1	0	1	80668	783	valid	expXId
6	1	0	12	12	0	2	hands crossed	1	feet parallel	-300	1	oneTouch	3	leftFoot	5	none	83230	83530	3	3	0	1	83901	671	valid	expXId
6	1	0	13	13	0	2	hands crossed	1	feet parallel	110	2	twoTouches	2	rightHand	1	leftHand	86576	86686	1	2	1	1	87137	561	valid	expXId
6	1	0	14	14	0	2	hands crossed	1	feet parallel	-110	1	oneTouch	3	leftFoot	5	none	89735	89845	3	3	0	1	90469	734	valid	expXId
6	1	0	15	15	0	2	hands crossed	1	feet parallel	-300	1	oneTouch	1	leftHand	5	none	92893	93193	2	1	0	1	93460	567	valid	expXId
6	1	0	16	16	0	2	hands crossed	1	feet parallel	110	2	twoTouches	4	rightFoot	1	leftHand	96239	96349	4	4	1	1	97649	1410	valid	expXId
6	1	0	17	17	0	2	hands crossed	1	feet parallel	300	2	twoTouches	1	leftHand	3	leftFoot	99398	99698	2	1	1	1	100034	636	valid	expXId
6	1	0	18	18	0	2	hands crossed	1	feet parallel	110	1	oneTouch	2	rightHand	5	none	102743	102853	1	2	1	1	103328	585	valid	expXId
6	1	0	19	19	0	2	hands crossed	1	feet parallel	-110	1	oneTouch	1	leftHand	5	none	105902	106012	2	1	0	1	106416	514	valid	expXId
6	1	0	20	20	0	2	hands crossed	1	feet parallel	300	2	twoTouches	4	rightFoot	3	leftFoot	109061	109361	4	4	1	1	109856	795	valid	expXId
6	1	0	21	21	0	2	hands crossed	1	feet parallel	-300	2	twoTouches	1	leftHand	2	rightHand	112407	112707	2	1	0	1	113195	788	valid	expXId
