subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ
13	1	1	999	1	0	1	2	1	-1000	3	4	134577	135577	4	3	2	99	135479	-98	too early
13	1	1	999	2	0	1	2	1	-1000	1	4	143110	144110	1	1	0	1	145373	1263	valid
13	1	1	999	3	0	1	2	1	1000	2	3	149143	150143	2	2	1	1	151117	974	valid
13	1	1	999	4	0	1	2	1	-1000	1	2	155159	156159	1	1	0	1	157096	937	valid
13	1	1	999	5	0	1	2	1	-1000	1	4	161176	162176	1	1	0	1	163090	914	valid
13	1	0	1	1	0	1	2	1	110	2	1	172525	172635	1	1	0	0	175099	2464	block start
13	1	0	2	2	0	1	2	1	110	4	1	177658	177768	3	4	1	1	179358	1590	valid
13	1	0	3	3	0	1	2	1	110	2	4	182791	182901	3	4	0	0	185083	2182	valid
13	1	0	4	4	0	1	2	1	-300	1	2	187924	188224	1	1	0	1	189157	933	valid
13	1	0	5	5	0	1	2	1	-300	3	4	193240	193540	4	3	0	1	194402	862	valid
13	1	0	6	6	0	1	2	1	-50	1	4	198557	198607	4	3	2	99	200577	1970	wrong limb
13	1	0	7	7	0	1	2	1	50	2	4	203624	203674	2	2	1	1	205498	1824	valid
13	1	0	8	8	0	1	2	1	-50	3	1	208707	208757	1	1	1	0	210480	1723	valid
13	1	0	9	9	0	1	2	1	-300	3	1	213773	214073	3	4	2	99	215361	1288	wrong limb
13	1	0	10	10	0	1	2	1	-110	4	2	219090	219200	3	4	0	1	221083	1883	valid
13	1	0	11	11	0	1	2	1	-110	1	2	224223	224333	1	1	0	1	226021	1688	valid
13	1	0	12	12	0	1	2	1	50	4	1	229356	229406	4	3	2	99	231001	1595	wrong limb
13	1	0	13	13	0	1	2	1	110	1	3	234439	234549	1	1	1	1	236049	1500	valid
13	1	0	14	14	0	1	2	1	-300	1	4	239572	239872	1	1	0	1	241186	1314	valid
13	1	0	15	15	0	1	2	1	-110	1	4	244887	244997	4	3	2	99	245934	937	wrong limb
13	1	0	16	16	0	1	2	1	-50	1	2	250022	250072	1	1	0	1	251690	1618	valid
13	1	0	17	17	0	1	2	1	50	2	3	255087	255137	2	2	1	1	257096	1959	valid
13	1	0	18	18	0	1	2	1	-300	4	2	260155	260455	4	3	2	99	261542	1087	wrong limb
13	1	0	19	19	0	1	2	1	-50	3	2	265488	265538	3	4	2	99	267379	1841	wrong limb
13	1	0	20	20	0	1	2	1	-300	3	2	270571	270871	4	3	0	1	272819	1948	valid
13	1	0	21	21	0	1	2	1	300	4	1	275904	276204	4	3	2	99	277566	1362	wrong limb
13	1	0	22	22	0	1	2	1	-50	4	2	281237	281287	4	3	2	99	282649	1362	wrong limb
13	1	0	23	23	0	1	2	1	110	4	3	286320	286430	3	4	1	1	287917	1487	valid
13	1	0	24	24	0	1	2	1	50	2	1	291453	291503	2	2	1	1	293351	1848	valid
13	1	0	25	25	0	1	2	1	300	2	4	296518	296819	2	2	1	1	298452	1633	valid
13	1	0	26	26	0	1	2	1	50	1	3	301836	301886	1	1	1	1	303368	1482	valid
13	1	0	27	27	0	1	2	1	300	2	3	306919	307219	2	2	1	1	308288	1069	valid
13	1	0	28	28	0	1	2	1	300	1	3	312236	312536	1	1	1	1	313785	1249	valid
13	1	0	29	29	0	1	2	1	-110	3	2	317569	317679	3	4	2	99	319062	1383	wrong limb
13	1	0	30	30	0	1	2	1	110	2	3	322702	322812	2	2	1	1	324015	1203	valid
13	1	0	31	31	0	1	2	1	-110	3	4	327835	327945	3	4	1	0	329746	1801	valid
13	1	0	32	32	0	1	2	1	300	2	1	332968	333268	2	2	1	1	334411	1143	valid
13	1	0	33	33	0	1	2	1	-110	3	1	338283	338393	3	4	2	99	340367	1974	wrong limb
13	1	0	34	34	0	1	2	1	50	4	3	343417	343467	4	3	0	0	345100	1633	valid
13	1	0	35	35	0	1	2	1	-50	3	4	348501	348551	3	4	1	0	350055	1504	valid
13	1	0	36	36	0	1	2	1	300	4	3	353584	353884	4	3	0	0	355306	1422	valid
13	1	0	1	37	1	1	2	1	110	2	1	358899	359009	2	2	1	1	361127	2118	valid
13	1	0	6	38	1	1	2	1	-50	1	4	364033	364083	1	1	0	1	365820	1737	valid
13	1	0	9	39	1	1	2	1	-300	3	1	369098	369398	3	4	2	99	370680	1282	wrong limb
13	1	0	12	40	1	1	2	1	50	4	1	374416	374466	1	1	0	0	376137	1671	valid
13	1	0	15	41	1	1	2	1	-110	1	4	379481	379591	4	3	2	99	381991	2400	wrong limb
13	1	0	18	42	1	1	2	1	-300	4	2	384616	384916	4	3	2	99	386970	2054	wrong limb
13	1	0	19	43	1	1	2	1	-50	3	2	389949	389999	2	2	1	0	391815	1816	valid
13	1	0	21	44	1	1	2	1	300	4	1	395032	395332	4	3	2	99	396452	1120	wrong limb
13	1	0	22	45	1	1	2	1	-50	4	2	400365	400415	2	2	1	0	402234	1819	valid
13	1	0	29	46	1	1	2	1	-110	3	2	405431	405541	3	4	2	99	406954	1413	wrong limb
13	1	0	33	47	1	1	2	1	-110	3	1	410564	410674	4	3	0	1	411798	1124	valid
13	1	0	9	48	2	1	2	1	-300	3	1	415698	415998	4	3	0	1	417329	1331	valid
13	1	0	15	49	2	1	2	1	-110	1	4	421031	421141	1	1	0	1	422694	1553	valid
13	1	0	18	50	2	1	2	1	-300	4	2	426164	426464	4	3	2	99	427913	1449	wrong limb
13	1	0	21	51	2	1	2	1	300	4	1	431497	431797	4	3	2	99	432910	1113	wrong limb
13	1	0	29	52	2	1	2	1	-110	3	2	436830	436940	3	4	2	99	439199	2259	wrong limb
13	1	0	18	53	3	1	2	1	-300	4	2	441963	442263	4	3	2	99	443929	1666	wrong limb
13	1	0	21	54	3	1	2	1	300	4	1	447279	447579	4	3	2	99	448537	958	wrong limb
13	1	0	29	55	3	1	2	1	-110	3	2	452613	452723	3	4	2	99	453821	1098	wrong limb
13	1	0	18	56	4	1	2	1	-300	4	2	457746	458046	4	3	2	99	458975	929	wrong limb
13	1	0	21	57	4	1	2	1	300	4	1	463079	463379	4	3	2	99	464307	928	wrong limb
13	1	0	29	58	4	1	2	1	-110	3	2	468412	468522	3	4	2	99	469649	1127	wrong limb
