subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
2	1	1	999	1	0	2	1	-1000	3	2	340540	341540	0	0	2	99	0	0	no reaction	expXIc
2	1	1	999	2	0	2	1	1000	2	3	347588	348588	0	0	2	99	0	0	no reaction	expXIc
2	1	1	999	3	0	2	1	1000	2	1	354619	355619	0	0	2	99	0	0	no reaction	expXIc
2	1	1	999	4	0	2	1	-1000	4	2	361651	362651	4	4	0	1	362535	-116	too early	expXIc
2	1	1	999	5	0	2	1	1000	2	4	368282	369282	1	2	1	1	368801	-481	too early	expXIc
2	1	0	1	1	0	2	1	300	2	3	389859	390159	1	2	1	1	391373	1214	block start	expXIc
2	1	0	2	2	0	2	1	-50	3	2	395624	395674	3	3	0	1	397043	1369	valid	expXIc
2	1	0	3	3	0	2	1	110	2	4	401072	401182	1	2	1	1	402550	1368	valid	expXIc
2	1	0	4	4	0	2	1	-50	1	4	406637	406687	2	1	0	1	407784	1097	valid	expXIc
2	1	0	5	5	0	2	1	-110	3	2	412118	412228	3	3	0	1	414117	1889	valid	expXIc
2	1	0	6	6	0	2	1	50	2	4	417617	417667	1	2	1	1	418974	1307	valid	expXIc
2	1	0	7	7	0	2	1	300	4	3	423015	423315	4	4	1	1	424260	945	valid	expXIc
2	1	0	8	8	0	2	1	-50	3	4	428663	428713	4	4	1	0	431056	2343	valid	expXIc
2	1	0	9	9	0	2	1	-300	3	2	435644	435944	3	3	0	1	437173	1229	valid	expXIc
2	1	0	10	10	0	2	1	300	2	1	441242	441542	1	2	1	1	442775	1233	valid	expXIc
2	1	0	11	11	0	2	1	-110	1	4	446874	446984	2	1	0	1	448748	1764	valid	expXIc
2	1	0	12	12	0	2	1	50	2	1	452339	452389	0	0	2	99	0	0	no reaction	expXIc
2	1	0	13	13	0	2	1	-110	1	2	457420	457530	0	0	2	99	0	0	no reaction	expXIc
2	1	0	14	14	0	2	1	50	2	3	462569	462619	1	2	1	1	464578	1959	valid	expXIc
2	1	0	15	15	0	2	1	110	1	3	468117	468227	0	0	2	99	0	0	no reaction	expXIc
2	1	0	16	16	0	2	1	-110	3	1	473265	473375	3	3	0	1	474327	952	valid	expXIc
2	1	0	17	17	0	2	1	-110	4	2	478647	478757	4	4	0	1	479618	861	valid	expXIc
2	1	0	18	18	0	2	1	-50	3	1	484195	484245	3	3	0	1	485909	1664	valid	expXIc
2	1	0	19	19	0	2	1	-50	4	2	489710	489760	1	2	1	0	491858	2098	valid	expXIc
2	1	0	20	20	0	2	1	-50	1	2	495242	495292	1	2	1	0	497797	2505	valid	expXIc
2	1	0	21	21	0	2	1	110	4	3	500923	501033	4	4	1	1	502569	1536	valid	expXIc
2	1	0	22	22	0	2	1	-300	4	2	506355	506655	4	4	0	1	507657	1002	valid	expXIc
2	1	0	23	23	0	2	1	50	4	3	511953	512003	4	4	1	1	513922	1919	valid	expXIc
2	1	0	24	24	0	2	1	110	4	1	517435	517545	4	4	1	1	519051	1506	valid	expXIc
2	1	0	25	25	0	2	1	110	2	1	522883	522993	1	2	1	1	524180	1187	valid	expXIc
