subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	confidenceDelay	timeConfidenceReaction	responsetimeConfidence	confidenceTOJ
11	1	1	999	1	0	2	2	1	1000	4	3	248971	249971	3	4	1	1	251405	1434	valid	247	253120	1715	high
11	1	1	999	2	0	2	2	1	1000	2	1	255720	256720	1	2	1	1	258159	1439	valid	518	259533	1374	high
11	1	1	999	3	0	2	2	1	-1000	1	4	261953	262953	2	1	0	1	263821	868	valid	571	264747	926	high
11	1	1	999	4	0	2	2	1	-1000	1	4	267353	268353	2	1	0	1	269498	1145	valid	799	271072	1574	high
11	1	1	999	5	0	2	2	1	-1000	3	1	273453	274453	4	3	0	1	275524	1071	valid	250	276660	1136	high
11	1	0	1	1	0	2	2	1	110	2	3	283852	283962	1	2	1	1	284994	1032	block start	519	286187	1193	high
11	1	0	2	2	0	2	2	1	-110	1	4	288635	288745	2	1	0	1	289305	560	valid	301	290378	1073	high
11	1	0	3	3	0	2	2	1	-300	3	4	292885	293185	3	4	1	0	293673	488	valid	541	294798	1125	high
11	1	0	4	4	0	2	2	1	50	2	1	297402	297452	1	2	1	1	298326	874	valid	576	299600	1274	high
11	1	0	5	5	0	2	2	1	-50	4	2	301968	302018	1	2	1	0	302929	911	valid	726	304441	1512	high
11	1	0	6	6	0	2	2	1	-300	4	2	307135	307435	3	4	0	1	308136	701	valid	590	309467	1331	high
11	1	0	7	7	0	2	2	1	110	4	3	311800	311910	3	4	1	1	314015	2105	valid	779	315438	1423	low
11	1	0	8	8	0	2	2	1	50	1	3	317884	317934	2	1	1	1	319005	1071	valid	335	320090	1085	high
11	1	0	9	9	0	2	2	1	-110	4	2	322367	322477	3	4	0	1	323284	807	valid	240	324226	942	high
11	1	0	10	10	0	2	2	1	-110	3	1	326600	326710	4	3	0	1	327745	1035	valid	480	328781	1036	low
11	1	0	11	11	0	2	2	1	-300	1	4	331533	331833	2	1	0	1	332779	946	valid	794	334206	1427	high
11	1	0	12	12	0	2	2	1	-110	1	2	336683	336793	1	2	1	0	337811	1018	valid	231	338151	340	high
11	1	0	13	13	0	2	2	1	-50	3	1	341516	341566	2	1	1	0	342368	802	valid	202	343278	910	high
11	1	0	14	14	0	2	2	1	300	2	1	345783	346083	1	2	1	1	346723	640	valid	263	347767	1044	high
11	1	0	15	15	0	2	2	1	50	4	1	350116	350166	3	4	1	1	351906	1740	valid	655	353222	1316	low
11	1	0	16	16	0	2	2	1	110	1	3	355665	355776	2	1	1	1	356495	719	valid	280	357477	982	high
11	1	0	17	17	0	2	2	1	110	2	4	360149	360259	1	2	1	1	360802	543	valid	500	362043	1241	high
11	1	0	18	18	0	2	2	1	-300	3	2	364432	364732	4	3	0	1	365610	878	valid	227	366566	956	high
11	1	0	19	19	0	2	2	1	-110	3	2	369082	369192	4	3	0	1	370579	1387	valid	265	371516	937	low
11	1	0	20	20	0	2	2	1	-50	1	2	374165	374215	2	1	0	1	374965	750	valid	630	376280	1315	high
11	1	0	21	21	0	2	2	1	-110	3	4	378664	378774	3	4	1	0	379559	785	valid	420	380719	1160	high
11	1	0	22	22	0	2	2	1	-300	3	1	383081	383381	4	3	0	1	383927	546	valid	233	384862	935	high
